Morpheme	When Prefix	When Suffix
Arachno	hairy spiders	
Ophidio	slippery snakes	
Acro	high places	
Agora	crowded spaces, open spaces	
Cyno	dogs	
Astra	thunder, lightning	
Claustro	small spaces, small rooms, enclosed spaces	
Myso	germs, bacteria	
Aero	airspace, open air	
Trypo	holes	
Carcino	cancer	
Thanato	death itself	
Glosso	public speaking	
Mono	solitude, loneliness	
Atychi	failure, barriers to success	
Ornitho	birds	
Alektoro	chickens	
Enochlo	crowds, mobs, public gatherings	
Aphenphosm	intimacy, closeness, physical closeness	
Trypano	sharp needles, syringes	
Anthropo	people, mankind, humankind	
Aqua	water, bodies of water	
Auto	the self	
Hemo	blood	
Gamo	commitment, loyalty	
Hippopotomonstrosesquippedalio	very long words, long-winded language	
Xeno	aliens, strangeness, foreignness, foreigners	
Veho	driving, motorized transport	
Basi	falling down	
Achieveme	success, winning	
Theo	God, religion	
Ailuro	cats, felines	
Metathesio	change, transformation, evolution	
Globo	balloons, inflated containers	
Nycto	darkness, the night	
Andro	men, masculinity	
Phobo	fear itself	
Philo	love itself	
Triskaideka	the number 13	
Emeto	vomiting, puking, puke	
Gephyro	bridges	
Entomo	bugs, insects	
Lepidoptero	butterflies, moths	
Pano	everything	
Podo	feet	
Paraskevidekatria	Friday the 13th	
Somni	sleep, sleeping	
Gyno	women, femininity	
Api	bees	
Koumpouno	buttons, fasteners	
Anatidae	ducks	
Pyro	fire, flame	
Ranida	frogs	
Galeo	sharks	
Athazagora	forgetfulness, amnesia	
Katsarida	cockroaches	
Iatro	doctors, physicians	
Pedio	dolls, mannequins	
Ichthyo	fish	
Achondroplasia	midgets, dwarves, little people	
Motte	moths	
Zoo	animals, the animal kingdom	the diversity of
Banana	bananas	
Sidonglobo	cotton balls, plastic form, styrofoam	
Scelero	crime, criminality, criminal behaviour	
Cibo	food, foodstuffs	
Phasmo	ghosts, spectres, spooks, phantasms	
Equino	horses	
Muso	mice	
Catoptro	mirrors	
Aglio	pain	
Toko	pregnancy	
Telephono	talking on the phone, phonecalls	
Pogono	beards, bearded men, bearded ladies	
Omphalo	belly buttons, navels	
Pseudodysphagia	choking	
Batho	deep places, tunnels, caves	
Cacomor	fat people, obese people, obesity	
Gerasco	old age, aging	
Chaeto	hair	
Nosocome	hospitals, emergeny rooms	
Ligyro	loud noises	
Didaskaleino	schools	
Techno	technology, new inventions, scientific progress	
Chrono	time	
Sphekso	wasps	
Ergo	workplaces, hard work, energy	
Coulro	clowns, harlequins	
Allodoxa	opinions, opinionated people	
Samhaino	Halloween costumes, Halloween pranks	
Photo	bright light	
Disposo	tidiness, throwing stuff out	
Numero	numbers, numerical calculations	
Ombro	rain, rainy weather, rainclouds, stormy weather	
Coaster	roller coasters	
Thalasso	the ocean	
Scoleci	worms	
Kinemorto	zombies	
Myrmeco	ants	
Tapho	premature burial, coffins, graveyards	
Gastro	food, eating, cookery, the culinary arts	
Oneiro	dreams, the dream world	
Porno	sin, sinful excess, hedonism	
Pharma	medicines, chemicals	
Logy		the scholarly study of
Logical		the scientific approach to the study of
Mytho	fantastical stories	
Cracy		a system of government that is reliant upon
Crat		one who writes or imposes rules concerning
Mobile		A mechanical transportation device for
Maton		A machine designed for the analysis or processing of
Graph		a device for the display and/or recording of
Graphy		the process of recording
Grapher		a specialist in the recording and analysis of
Lexico	words, dictionaries	
Histerio	history, the past	
Hagio	saints, sainthood, 	
Steno	typing, typing pools	
Ethno	culture, cultural norms, societal norms, customs and traditions	
Bio	life, Mother nature, the natural world	
Radio	the airwaves	
Gram		a recording of 
Meter		a device or tool for the accurate measurement of
Phono	the soundscape, the audio spectrum	
Tele	distant places	
Therapy		a means of addressing problems relating to (or caused by)
Hydro	water, bodies of water	
Scopy		the process for the observation and examination of
Scope		a device for the observation and examination of
Therapist		a professional who tackles problems relating to (or caused by)
Tempo	rhythmic signals	
Chemistry		the study of the chemical make-up and effects of
Chemo	potent chemicals, unnatural chemicals	
Choreo	rhythmic movements	
Cosmo	the universe	
Astro	the stars	
Polis		a city with a significant density of
Pole		a location with a significant density of
Scape		a panoramic space with a significant density of
Argo	treasure, immense wealth	
Naut		a traveler who is dedicated to the exploration of
Latry		the zealous worship of
Idolo	false gods, graven images	
Gen		any element that contributes to the generation or replication of 
Gene		a unit of information regarding the makeup of
Carto	maps	
Cartography		the process of creating maps of
Cinemato	cinemas	
Cinema		a school of filmmaking that emphasizes
Biblio	books, libraries	
Phile		someone with a compulsive love of
Philia		the compulsive love of
Phobe		someone with an irrational love of
Phobia		the irrational fear of
Theca		a place dedicated to the study of
Mania		an irrational obsession for
Manic		some with an obsessive regard for
